fleurs id,file path,filename,language,lcode,iso 639-3,iso 15924,transcription,romanized transcription,duration
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000000_seg_000.wav,000000_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Po, asht e rëndësishme sepse universiteti ofron një arsimim të thelluar edhe të specializuar që mund të hap shumë mundësi për karrierë. .Gjithashtu, asht një vend ku të rinjtë mund të zhvillojnë mendimin kritik edhe",po asht e rendesishme sepse universiteti ofron nje arsimim te thelluar edhe te specializuar qe mund te hap shume mundesi per karriere gjithashtu asht nje vend ku te rinjte mund te zhvillojne mendimin kritik edhe,20.3378231292517
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000100_seg_000.wav,000100_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Do të preferoja të kisha një qen sepse janë shumë të dashur dhe shoqërorë..Qentë janë gjithashtu shokë të shkëlqyer për të bërë aktivitete jashtë dhe mund të trajnohen për të bërë truke dhe urdhra, gjë që e bën lidhjen me ta shumë të veçantë.",do te preferoja te kisha nje qen sepse jane shume te dashur dhe shoqerore qente jane gjithashtu shoke te shkelqyer per te bere aktivitete jashte dhe mund te trajnohen per te bere truke dhe urdhra gje qe e ben lidhjen me ta shume te vesante,20.211383219954648
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000200_seg_000.wav,000200_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Të lîpënj skusa nëse të po të jap presion, ngë është çëllimi im..Dua vetëm të jem i sigurt çë kam kuptuar gjithçka mirë..Mund të flasim për këtë sërish për të parë nëse ka një zgjidhje çë të dy mund të pranojmë?",te lipenj skusa nese te po te jap presion nge eshte sellimi im dua vetem te jem i sigurt se kam kuptuar gjithska mire mund te flasim per kete serish per te pare nese ka nje zgjidhje se te dy mund te pranojme,16.00063492063492
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000301_seg_000.wav,000301_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Jo, jo të gjitha racat e qenve janë amichevoli. .Disa raca, si Golden Retriever ose Labrador, janë të njohura për natyrën e tyre shumër amichevole, ndërsa të tjera mund të kenë një temperament më të rezervuar ose mbrojtës.",jo jo te gjitha racat e qenve jane amichevoli disa raca si golden retriever ose labrador jane te njohura per natyren e tyre shumer amichevole ndersa te tjera mund te kene nje temperament me te rezervuar ose mbrojtes,19.056145124716554
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000397_seg_000.wav,000397_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Për të fshirë një dhomë në mënyrë efikase, fillo duke liruar dyshemenë nga objektet si karriget ose tapetat e vegjël. .Përdor fshesën me korrent me lëvizje të ngadalta dhe të drejta, duke mbivendosur pak kalimet për t'u siguruar që nuk ke lënë ndonjë zonë pa pastruar. .Përqendrohu veçanërisht në qoshet dhe buzët e dhomës, ku pluhuri ka tendencë të grumbullohet më shumë.",per te fshire nje dhome ne menyre efikase fillo duke liruar dyshemene nga objektet si karriget ose tapetat e vegjel perdor fshesen me korrent me levizje te ngadalta dhe te drejta duke mbivendosur pak kalimet per tu siguruar qe nuk ke lene ndonje zone pa pastruar perqendrohu vesanerisht ne qoshet dhe buzet e dhomes ku pluhuri ka tendence te grumbullohet me shume,27.76766439909297
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000498_seg_000.wav,000498_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Një pjatë që e adhuroj është parmigiana me llunjana..Përgatitet me llunjana të skuqur, salcë domateje dhe mocarela, është një klasik i kuzhinës italiane që gjithmonë e ha me haré.",nje pjate qe e adhuroj eshte parmigiana me llunjana pergatitet me llunjana te skuqur salce domateje dhe mocarela eshte nje klasik i kuzhines italiane qe gjithmone e ha me hare,13.16
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000595_seg_000.wav,000595_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Ma nge e di sa ka tundet nje qen te nje dit, però jam sicuru se rrojen me mire qent çë rrinë përjashta presempiu te dherat, çë kanë një dhe i gjer e i madh te ku mënd tunden se jo qent çë rrinë te shpit çë makari qent çë rrinë te shpit bunen si të shterë e tunden pak e kam bes se ngë vete mirë.",ma nge e di sa ka tundet nje qen te nje dit pero jam sicuru se rrojen me mire qent se rrine perjashta presempiu te dherat se kane nje dhe i gjer e i madh te ku mend tunden se jo qent se rrine te shpit se makari qent se rrine te shpit bunen si te shtere e tunden pak e kam bes se nge vete mire,26.61
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000679_seg_000.wav,000679_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Çernierët zip funcjonarjën se praticamenti janë si dy strishë e këto strishë jan gjithë dhëmb, këta dhëmb çë inkastraren e praticamenti ë si një arshije di metallu çë praticamenti ti mënd e rnarsh e mbyll e zbyll çernierën.",sernieret zip funcjonarjen se praticamenti jane si dy strishe e keto strishe jan gjithe dhemb keta dhemb se inkastraren e praticamenti e si nje arshije di metallu se praticamenti ti mend e rnarsh e mbyll e zbyll sernieren,25.99503401360544
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000751_seg_003.wav,000751_seg_003.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,gjithë computer e ngë do dinë gjë.,gjithe computer e nge do dine gje,3.481087499999994
,/ssd2/sangmin/datasets/omnilingual_asr_corpus_16k_aligned/aae_Latn/train/000801_seg_000.wav,000801_seg_000.wav,Arbëreshë Albanian,aae_Latn,aae,Latn,"Dej të lipia un consigliu mbi një shurbes çë për mua ë importanti, gjegjëm mua, ma na u kat i bie me kitarrën të diel,",dej te lipia un consigliu mbi nje shurbes se per mua e importanti gjegjem mua ma na u kat i bie me kitarren te diel,18.124379834254142
